16298441, "16298441", "dril", "delaware", "blocked by bubba burger for no reason\nhttps://t.co/tamf9zO9Mx", "http://t.co/8V6Wi4tMN3", 522397, 201, 3176, "Mon Sep 15 17:21:54 +0000 2008", 23, 0, 7057, "en", "{}", 0, 0, 1, "wint", 0
159121042,"159121042","wolfpupy","","a wolf puppy","https://t.co/NNY10R1o9B",189391,242,1610,"Thu Jun 24 14:16:54 +0000 2010",3723,0,8367,"en","{}",0,0,0,"wolf pupy",0
70111948,"70111948","joshgondelman","New York","Writer, @LastWeekTonight. New album Physical Whisper available HERE: https://t.co/S9TgrMQGbS","https://t.co/PfZZcoj0c7",95840,2624,2073,"Sun Aug 30 12:40:22 +0000 2009",301747,1,91926,"en","{}",0,0,0,"Josh Gondelman",0
30211023,"30211023","FilthyRichmond","Richmond, VA","Kiss Mommy's cold sore and make it better! #RVA","http://t.co/k8GFrtYsPM",91564,3016,3777,"Fri Apr 10 13:02:31 +0000 2009",176031,0,16264,"en","{}",0,0,1,"Jocelyn Plums",0
18156146,"18156146","sofifii","","I don't feel like filling this out","https://t.co/E5fn52pfIE",173703,1333,1451,"Tue Dec 16 04:35:10 +0000 2008",30958,1,15671,"en","{}",0,0,0,"Sophia Rivka Rossi",0
14166714,"14166714","fart","Mountain View, CA","Extremely Important Thought Leader - DevOps, IT Security and Cyber Risk. Also everyone on earth likes me","https://t.co/TU9ztOWOo0",120208,1264,2818,"Mon Mar 17 23:27:03 +0000 2008",44182,1,69048,"en","{}",0,0,1,"jon hendren",0
133110529,"133110529","DadBoner","Grand Blanc, MI","Can't wait for the weekend!",null,140261,197,2111,"Thu Apr 15 01:42:21 +0000 2010",0,0,10327,"en","{}",0,0,0,"Karl Welzein",0
160817572,"160817572","Lord_Voldemort7","","Running around leaving scars, collecting my jar of hearts and tearing love apart...","http://t.co/YJRBouTZCd",1989525,0,16551,"Tue Jun 29 05:52:44 +0000 2010",0,0,5957,"en","{}",0,0,0,"The Dark Lord",0
898124258,"898124258","Bill_Nye_Tho","Turnt up at my lab ","i may not be the real bill nye but i am the REALEST bill nye. (ORIGINAL PARODY ACCOUNT, NOT AFFILIATED w/ Bill Nye @BillNye) https://t.co/A6fYQWYiYW","https://t.co/dVfIqNPBdJ",204345,1521,530,"Mon Oct 22 18:23:08 +0000 2012",23897,0,6291,"en","{}",0,0,0,"BILL NYE THO",0
191678703,"191678703","BettyFckinWhite","I'm on the twitter.","I'm not Betty F*ckin' White, Yo! Seriously I'm not Betty. BettyFckinWhite@gmail.com parody",null,140815,1337,1941,"Fri Sep 17 01:54:59 +0000 2010",20310,0,6606,"en","{}",0,0,0,"Betty F*ckin' White",0
1176900734,"1176900734","God_Damn_Batman","","This account is now @TheBatman.",null,2441,0,30,"Wed Feb 13 21:34:09 +0000 2013",0,0,1,"en","{}",0,0,0,"The Batman",0
22872643,"22872643","kellyoxford","Los Angeles, CA","new york times bestselling author. huge fan of your work. i love Oprah and McDonalds. Created #notokay Instagram & Snapchat: kellyoxford",null,765546,1033,11890,"Thu Mar 05 03:24:25 +0000 2009",32782,1,8489,"en","{}",0,0,1,"kelly oxford",0
386788466,"386788466","The_HelenKeller","idk ","baddest blind bitch. Follow At Own Risk: I tend to wander... *Parody Account*",null,791737,13,1138,"Fri Oct 07 22:21:07 +0000 2011",12,0,3197,"en","{}",0,0,0,"Helen Keller",0
809760,"809760","badbanana","Nebraska and Los Angeles","Sometimes I just want to give it all up and become a handsome billionaire.","http://t.co/tTel1ffnft",796703,284,13670,"Sun Mar 04 05:57:43 +0000 2007",2666,1,17149,"en","{}",0,0,0,"Tim Siedell",0
135264049,"135264049","MayorBurnsy","Orlando, Florida","Here I go, again on my own.",null,12231,987,377,"Tue Apr 20 20:23:28 +0000 2010",12181,0,30446,"en","{}",0,0,1,"Ashley Burns",0
57435204,"57435204","RobinMcCauley","Los Angeles","","http://t.co/d2OVcZxcSl",50556,966,1529,"Thu Jul 16 20:20:42 +0000 2009",22023,0,4863,"en","{}",0,0,0,"Robin McCauley Lynch",0
18169589,"18169589","julieklausner","New York, NY","#Blessed creator/writer/star of @difficultonhulu. I live with a tuxedo cat who, if he were human, would be so out of my league, you'd think I was old money.","https://t.co/1yCcqCnAtM",113338,1741,2071,"Tue Dec 16 19:06:45 +0000 2008",33007,1,45076,"en","{}",0,0,0,"Julie Klausner",0
213350034,"213350034","IamEnidColeslaw","Chicago","SO VERY TIRED","http://t.co/adSo4pggmT",170809,3358,4798,"Mon Nov 08 17:59:10 +0000 2010",138064,0,24477,"en","{}",0,0,0,"Mary Charlene",0
22084427,"22084427","robdelaney","London","UK • #CATASTROPHE Series 3 premieres Tues 28/2 at 10pm on @Channel4. US • Watch 1 & 2 on Amazon: https://t.co/FWHV1n19YT","https://t.co/ufmjKWzZ3s",1357409,2371,17877,"Fri Feb 27 00:19:20 +0000 2009",358808,1,34958,"en","{}",0,0,0,"rob delaney",0
35206553,"35206553","meganamram","Los Angeles, CA","it's this weird, sexual, anti-comedy comedy that's 'in' right now. - my mom","http://t.co/zerUNtPuzu",555455,2047,9188,"Sat Apr 25 13:05:18 +0000 2009",65509,0,7462,"en","{}",0,0,0,"Megan Amram",0
15885301,"15885301","degg","hell!!!!!!!","buttballs",null,68358,309,904,"Sun Aug 17 21:30:14 +0000 2008",24000,0,9861,"en","{}",0,0,0,"deg",0
531739833,"531739833","__MICHAELJ0RDAN","","I love basketball even tho I'm not the real Michael Jordan (parody)",null,38588,6,377,"Tue Mar 20 21:26:21 +0000 2012",47,0,1477,"en","{}",0,0,0,"Mike",0
188587219,"188587219","crushingbort","United States","rogue juan","https://t.co/fktULPPjet",50855,895,1051,"Thu Sep 09 02:35:06 +0000 2010",65410,0,9197,"en","{}",0,0,0,"🍍 Dollars Horton 🍍",0
19715003,"19715003","JoseCanseco","Las Vegas Nevada","media inquiries, appearances, bookings contact New World Sports Mgmt LLC joemelendez@msn.com","https://t.co/nwjiga6y8S",512942,340,3994,"Thu Jan 29 15:19:16 +0000 2009",1815,1,11508,"en","{}",0,0,1,"Jose Canseco",0
509388072,"509388072","cool_pond","where it's nice, and cool.","uhhhhh","https://t.co/zhS2BftdGF",28056,271,714,"Wed Feb 29 23:07:09 +0000 2012",6889,0,16376,"en","{}",0,0,1,"Cool Pond",0
